value,step,phi
96,3000,0.937625
96,3020,0.935049
96,3040,0.935254
96,3060,0.845306
96,3080,0.630052
96,3100,0.647018
96,3120,0.770917
96,3140,0.769099
96,3160,0.773318
96,3180,0.726870
96,3200,0.709770
96,3220,0.899444
96,3240,0.911482
96,3260,0.918931
96,3280,0.919040
96,3300,0.776170
96,3320,0.824820
96,3340,0.952595
96,3360,0.938143
96,3380,0.897453
96,3400,0.869977
96,3420,0.780388
96,3440,0.795578
96,3460,0.797327
96,3480,0.780484
96,3500,0.770316
96,3520,0.764472
96,3540,0.804227
96,3560,0.911137
96,3580,0.977212
96,3600,0.981885
96,3620,0.937320
96,3640,0.861616
96,3660,0.971126
96,3680,0.988059
96,3700,0.982707
96,3720,0.971480
96,3740,0.965493
96,3760,0.654239
96,3780,0.765445
96,3800,0.982153
96,3820,0.991080
96,3840,0.992908
96,3860,0.993758
96,3880,0.992890
96,3900,0.992314
96,3920,0.992447
96,3940,0.992583
96,3960,0.992329
96,3980,0.992071
96,4000,0.991542
96,4020,0.991961
96,4040,0.992242
96,4060,0.991272
96,4080,0.955103
96,4100,0.838137
96,4120,0.888206
96,4140,0.982734
96,4160,0.752979
96,4180,0.794730
96,4200,0.980962
96,4220,0.987354
96,4240,0.991360
96,4260,0.992560
96,4280,0.992432
96,4300,0.991629
96,4320,0.991122
96,4340,0.990106
96,4360,0.990874
96,4380,0.991952
96,4400,0.991287
96,4420,0.991232
96,4440,0.991690
96,4460,0.992035
96,4480,0.991204
96,4500,0.992494
96,4520,0.979102
96,4540,0.918024
96,4560,0.885350
96,4580,0.810967
96,4600,0.889088
96,4620,0.987824
96,4640,0.679957
96,4660,0.979839
96,4680,0.987921
96,4700,0.989953
96,4720,0.993673
96,4740,0.994437
96,4760,0.993353
96,4780,0.992332
96,4800,0.992163
96,4820,0.992371
96,4840,0.991940
96,4860,0.990900
96,4880,0.960425
96,4900,0.960939
96,4920,0.863409
96,4940,0.634131
96,4960,0.962668
96,4980,0.987853
96,5000,0.991587
96,5020,0.991366
96,5040,0.992208
96,5060,0.992055
96,5080,0.991651
96,5100,0.991041
96,5120,0.990746
96,5140,0.980547
96,5160,0.906536
96,5180,0.891846
96,5200,0.983471
96,5220,0.884069
96,5240,0.764507
96,5260,0.974498
96,5280,0.989344
96,5300,0.992316
96,5320,0.992527
96,5340,0.992418
96,5360,0.991827
96,5380,0.991184
96,5400,0.778324
96,5420,0.847622
96,5440,0.977602
96,5460,0.987895
96,5480,0.991594
96,5500,0.992683
96,5520,0.992888
96,5540,0.993825
96,5560,0.993046
96,5580,0.992032
96,5600,0.992532
96,5620,0.992617
96,5640,0.992485
96,5660,0.992274
96,5680,0.993252
96,5700,0.992515
96,5720,0.993071
96,5740,0.993409
96,5760,0.984012
96,5780,0.961262
96,5800,0.867974
96,5820,0.518792
96,5840,0.404456
96,5860,0.970697
96,5880,0.992151
96,5900,0.993773
96,5920,0.992955
96,5940,0.993458
96,5960,0.993728
96,5980,0.994141
96,6000,0.993083
96,6020,0.992618
96,6040,0.992795
96,6060,0.992046
96,6080,0.961403
96,6100,0.880303
