value,step,phi
3.0,4560,0.524889
3.0,4580,0.387634
3.0,4600,0.320041
3.0,4620,0.861067
3.0,4640,0.905058
3.0,4660,0.908372
3.0,4680,0.928242
3.0,4700,0.924955
3.0,4720,0.916001
3.0,4740,0.910773
3.0,4760,0.884781
3.0,4780,0.590868
3.0,4800,0.526944
3.0,4820,0.529148
3.0,4840,0.506173
3.0,4860,0.489581
3.0,4880,0.438275
3.0,4900,0.809260
3.0,4920,0.839099
3.0,4940,0.799034
3.0,4960,0.727071
3.0,4980,0.759211
3.0,5000,0.774434
3.0,5020,0.765205
3.0,5040,0.783349
3.0,5060,0.788834
3.0,5080,0.792636
3.0,5100,0.796474
3.0,5120,0.799742
3.0,5140,0.763271
3.0,5160,0.333880
3.0,5180,0.304696
3.0,5200,0.287849
3.0,5220,0.605130
3.0,5240,0.853121
3.0,5260,0.869943
3.0,5280,0.861402
3.0,5300,0.835354
3.0,5320,0.826265
3.0,5340,0.792221
3.0,5360,0.750754
3.0,5380,0.707194
3.0,5400,0.756598
3.0,5420,0.772799
3.0,5440,0.767406
3.0,5460,0.753041
3.0,5480,0.735134
3.0,5500,0.671646
